date,actual_price,predicted_price,inflation_rs,inflation_pct,inflation_z,volume_z,insider_score,alert_level
2020-01-28,227.72821044921875,229.25695317068286,-1.5287427214641127,-0.6668250189672358,-0.04731193166017921,-0.7606142171944194,11.2,LOW
2020-01-29,230.1055450439453,237.81466696354815,-7.709121919602836,-3.241651163922736,-0.14001767649732053,-0.08911370643906974,7.1,LOW
2020-01-30,229.31307983398438,233.2535631320483,-3.940483298063924,-1.6893561003538276,-0.08348806249936395,-0.7929410546619182,11.8,LOW
2020-01-31,227.282470703125,231.61131363254725,-4.328842929422251,-1.8690118636820938,-0.08931346054299759,-0.5522807558415812,10.0,LOW
2020-02-03,218.81321716308594,218.72122307527104,0.09199408781489637,0.04205997320307476,-0.023000864608754275,-0.5107379152472915,24.1,LOW
2020-02-04,223.32025146484375,238.4076402107763,-15.087388745932543,-6.328399850186754,-0.25069174677897277,-0.8009627766533387,13.5,LOW
2020-02-05,234.01820373535156,242.7254959484752,-8.707292213123651,-3.5873002047432214,-0.15499024008419934,2.079015222374994,22.1,LOW
2020-02-06,234.26585388183594,234.59916803874168,-0.3333141569057432,-0.14207814959117832,-0.02938049219278315,1.7464485674283503,18.4,LOW
2020-02-07,237.2375030517578,242.7409087184943,-5.503405666736484,-2.267193319737779,-0.10693191240974718,0.2796589401207084,8.2,LOW
2020-02-10,242.19029235839844,261.443100702895,-19.252808344496543,-7.36405294028987,-0.3131730790830483,0.44161030382138206,11.4,LOW
2020-02-11,242.9827423095703,258.8445262233966,-15.861783913826287,-6.12791939055212,-0.2623076814225126,-0.3732826400195929,10.4,LOW
2020-02-12,247.34115600585938,259.98665005191276,-12.645494046053386,-4.863901297827562,-0.21406330381315267,-0.054379595900701065,7.5,LOW
2020-02-13,249.07464599609375,261.55089771159857,-12.476251715504816,-4.7701047194500035,-0.21152466729774208,-0.7707038919517449,12.9,LOW
2020-02-14,253.73020935058594,265.42277664528274,-11.6925672946968,-4.405261463421063,-0.19976939377501868,0.34094363790589965,9.6,LOW
2020-02-17,250.11471557617188,246.7198104228594,3.3949051533124646,1.3760164404689876,0.026542831763468746,-0.8069440371814399,26.3,MEDIUM
2020-02-18,247.093505859375,250.0468872665896,-2.953381407214607,-1.1811310428615072,-0.0686815250543969,-0.7840261064937701,11.6,LOW
2020-02-19,251.60055541992188,265.9768335322212,-14.376278112299303,-5.40508657140537,-0.24002508073161521,-0.9034209793717648,14.2,LOW
2020-02-20,256.2066345214844,261.8588622273322,-5.652227705847849,-2.158501590425792,-0.10916424436571459,-0.45749729699155434,9.5,LOW
2020-02-24,244.91432189941406,247.15799454328493,-2.243672643870866,-0.9077888206759706,-0.05803588707428033,-0.29263769061927275,7.8,LOW
2020-02-25,244.1218719482422,250.82576372512574,-6.703891776883552,-2.672728541646222,-0.1249392151075077,-0.24683552715776788,8.1,LOW
2020-02-26,240.50636291503906,244.16692417199457,-3.6605612569555035,-1.499204394439991,-0.07928922930720252,-0.4729485295064883,9.3,LOW
2020-02-27,231.93807983398438,237.12703375183722,-5.188953917852842,-2.1882591097914577,-0.10221513328325298,-0.13574302314502795,7.0,LOW
2020-02-28,216.58447265625,191.49464038121337,25.089832275036628,13.102106787474387,0.35196693820221947,-0.27051153315802007,25.5,MEDIUM
2020-03-02,216.53497314453125,217.69980090287052,-1.1648277583392712,-0.5350614715807542,-0.041853203864960845,-0.3856153857485266,8.3,LOW
2020-03-03,223.617431640625,238.375668578735,-14.758236938110002,-6.191167507196896,-0.24575446663314127,-0.48092319863757804,11.1,LOW
2020-03-04,219.01133728027344,208.0822281594165,10.929109120856936,5.25230300421615,0.13955596059810468,0.58152353428969,25.8,MEDIUM
2020-03-05,219.65521240234375,216.6661008790577,2.9891115232860557,1.3795935363947718,0.02045592357940538,-0.4148454399951306,23.3,LOW
2020-03-06,212.72134399414062,197.18514131587753,15.536202678263095,7.878992592740611,0.20866240634861127,0.779742298701504,27.9,MEDIUM
2020-03-09,197.81350708007812,201.31137679027256,-3.4978697101944363,-1.7375419938827095,-0.0768488546088776,-0.7211189583332589,11.2,LOW
2020-03-11,193.9008331298828,199.55883309109967,-5.657999961216859,-2.8352540820049557,-0.1092508282493597,0.46272419033772333,9.6,LOW
2020-03-12,160.6182403564453,182.0616980169906,-21.443457660545278,-11.778126807618868,-0.34603283897972803,1.5478620757602433,20.1,LOW
2020-03-13,147.34481811523438,142.0635067533572,5.2813113618771865,3.717570741827673,0.05483894224857736,3.0800396406288346,43.6,MEDIUM
2020-03-16,133.4275360107422,156.30337324242797,-22.87583723168578,-14.635536493639933,-0.36751854572601894,1.9969701391070072,23.7,LOW
2020-03-17,132.13980102539062,154.65635675244917,-22.516555727058545,-14.559088420206153,-0.3621293198508967,1.6913175885133254,21.3,LOW
2020-03-18,128.9700469970703,163.02374727413877,-34.05370027706846,-20.888797396985463,-0.5351865942531764,0.20821758725329698,11.9,LOW
2020-03-19,127.68231964111328,172.4115273417572,-44.72920770064391,-25.943281397873637,-0.6953193038311009,0.9721890349922979,19.5,LOW
2020-03-20,136.39920043945312,178.58850390950266,-42.18930347004954,-23.623750995432722,-0.6572207170027765,0.19658022617776189,13.0,LOW
2020-03-23,120.6070327758789,173.43536806803667,-52.82833529215776,-30.459955129471528,-0.8168062922230841,-1.8050302726536807,26.7,MEDIUM
2020-03-24,130.03414916992188,171.35014331266493,-41.31599414274305,-24.112027771901655,-0.6441210690579461,0.5978801755167331,15.9,LOW
2020-03-25,131.9794158935547,180.39154506678207,-48.412129173227385,-26.837249581350896,-0.7505631598060507,-0.9493008098331657,19.6,LOW
2020-03-26,139.91014099121094,190.2354004860871,-50.32525949487615,-26.454203248336366,-0.7792601322333059,2.0732188484981124,28.3,MEDIUM
2020-03-27,127.6898422241211,152.27990825742094,-24.59006603329985,-16.147938565691593,-0.3932319935226804,-0.07360576932806473,9.5,LOW
2020-03-30,128.3881378173828,173.14335905675182,-44.75522123936901,-25.848650207080382,-0.6957095071513253,-1.187426295958886,20.9,LOW
2020-03-31,137.26657104492188,159.0400342739598,-21.77346322903793,-13.690554914953873,-0.35098292554346655,-1.2375831841424707,17.8,LOW
2020-04-01,133.62542724609375,152.61227470850494,-18.98684746241119,-12.44123220014692,-0.30918366340468817,-1.2840611017191192,17.7,LOW
2020-04-03,128.73728942871094,164.03563260755615,-35.298343178845215,-21.51870457517852,-0.5538562492316645,-1.2661558461413716,20.0,LOW
2020-04-07,137.81521606445312,164.26466235227562,-26.449446287822497,-16.101726268489834,-0.42112271444849475,-0.869420928689215,15.7,LOW
2020-04-08,137.765380859375,154.11560298854602,-16.350222129171016,-10.609063464123212,-0.26963425914675543,-0.4386434648316251,11.0,LOW
2020-04-09,142.1048126220703,147.03572470714778,-4.930912085077466,-3.353546966152888,-0.09834450341740485,-0.8715207672650253,12.5,LOW
2020-04-13,145.64622497558594,155.10726101790144,-9.461036042315499,-6.0996732069323105,-0.16629640445719981,-0.8910389625549888,13.3,LOW
2020-04-15,144.8980255126953,151.99127821826795,-7.093252705572638,-4.666881408409719,-0.13077963262031556,-0.25439620714501693,8.2,LOW
2020-04-16,142.9527587890625,147.57055993094662,-4.617801141884115,-3.1292157080958045,-0.09364783638860162,-0.5438583152113478,10.0,LOW
2020-04-17,143.55130004882812,152.38287651101965,-8.83157646219152,-5.795648871054656,-0.15685450496374453,-0.6326241070262675,11.3,LOW
2020-04-20,146.34451293945312,156.32348773796872,-9.978974798515594,-6.38354155406414,-0.17406549056570475,1.8920526058483031,20.9,LOW
2020-04-21,135.62057495117188,142.5247156354397,-6.904140684267816,-4.844170818714517,-0.12794295056074215,0.06497622896340154,6.8,LOW
2020-04-22,137.26657104492188,149.303794484602,-12.037223439680133,-8.062235445008435,-0.2049392391209159,1.411097916582078,17.6,LOW
2020-04-23,140.1595458984375,151.43126978635985,-11.271723887922349,-7.4434586091925175,-0.19345673880126316,-0.03347837030475561,7.2,LOW
2020-04-24,134.32373046875,146.37480387399935,-12.051073405249355,-8.233024459334558,-0.20514698873188641,-0.9268765184506035,14.0,LOW
2020-04-27,134.27383422851562,151.6538046712809,-17.379970442765284,-11.46029305393126,-0.28508049332528235,-0.20218108981816157,9.4,LOW
2020-04-28,138.96246337890625,155.3237421832921,-16.361278804385847,-10.53366251315171,-0.2698001093767093,1.2501640875106064,17.1,LOW
2020-04-29,139.16197204589844,153.07685521733046,-13.914883171432024,-9.090128714544342,-0.23310415237335658,0.9775415886872865,14.7,LOW
2020-04-30,141.057373046875,144.52218379487297,-3.464810747997973,-2.3974248499564186,-0.0763529698717584,1.0280581054806317,13.5,LOW
2020-05-04,131.23123168945312,130.53656339404637,0.6946682954067569,0.5321637687900399,-0.013960745949730326,1.552620182834346,31.8,MEDIUM
2020-05-05,132.3784637451172,148.90618378223897,-16.52772003712178,-11.099418182183749,-0.2722967293991577,-0.29957980018523345,10.0,LOW
2020-05-06,132.92710876464844,145.89754715590115,-12.970438391252713,-8.890100378036475,-0.2189374719809235,1.7226246632134579,20.1,LOW
2020-05-07,134.57310485839844,147.46574886732546,-12.892644008927022,-8.74280577554758,-0.21777055553025967,-0.8755801006940471,13.7,LOW
2020-05-08,136.8176727294922,150.09475260852994,-13.277079879037757,-8.845798835930268,-0.2235370971190773,-0.8690663502063432,13.8,LOW
2020-05-11,139.71063232421875,156.51293255241484,-16.80230022819609,-10.7354069431733,-0.27641543479165764,-0.5678302583428827,12.0,LOW
2020-05-12,139.56100463867188,151.5844734023556,-12.023468763683724,-7.931860363936773,-0.20473291885441436,-0.5913904914344924,11.5,LOW
2020-05-13,140.80796813964844,156.53201477002173,-15.724046630373294,-10.045259210056939,-0.2602416209034105,-0.49897851470690496,11.3,LOW
2020-05-14,140.55857849121094,140.9077095827532,-0.34913109154226163,-0.24777288097016553,-0.029617746357860988,-1.3394508098033155,15.3,LOW
2020-05-15,140.7082061767578,149.1270668858491,-8.418860709091291,-5.645427677817601,-0.15066376486988406,-0.9733605671778626,13.8,LOW
2020-05-18,135.5706787109375,141.6179533312551,-6.047274620317609,-4.270132760761324,-0.11508995171754874,0.6158278323476387,10.8,LOW
2020-05-19,139.36148071289062,153.21511687902378,-13.853636166133157,-9.041951243669883,-0.2321854467303459,1.0890827683349307,15.5,LOW
2020-05-20,141.00750732421875,152.07179354016182,-11.06428621594307,-7.275699167065468,-0.19034517181296037,-0.5930882905586565,11.4,LOW
2020-05-21,137.96487426757812,145.77720481693007,-7.812330549351941,-5.359089275420545,-0.14156580689316955,-0.6358216068502518,11.2,LOW
2020-05-22,137.765380859375,147.4761140730797,-9.710733213704714,-6.5846142439667865,-0.17004186432547713,-0.7479208713712825,12.3,LOW
2020-05-26,139.16197204589844,150.14802470343668,-10.986052657538238,-7.316814642908041,-0.18917166771706861,-0.6565666814004942,11.8,LOW
2020-05-27,140.65834045410156,148.24533852102843,-7.586998066926867,-5.117866195739207,-0.13818581758353146,-0.9029693455926253,13.2,LOW
2020-05-28,142.3043212890625,152.84303348385401,-10.538712194791515,-6.895121062815597,-0.18246155665993222,-0.44262657977261255,10.1,LOW
2020-05-29,147.99053955078125,168.2616121635275,-20.271072612746252,-12.04735432645535,-0.32844705247574324,2.8575967305043393,29.7,MEDIUM
2020-06-01,150.13531494140625,162.8797031599908,-12.744388218584561,-7.824417635428898,-0.21554671731103583,0.18507606201162086,8.5,LOW
2020-06-02,149.58663940429688,160.4055874380049,-10.818948033708011,-6.744745121730515,-0.18666509682210203,-0.5326743448638712,10.9,LOW
2020-06-03,150.28494262695312,161.8842184875425,-11.599275860589387,-7.165167777909115,-0.19837002140504217,1.1974831657640594,16.0,LOW
2020-06-04,147.64138793945312,156.58325842914593,-8.941870489692803,-5.710617200969162,-0.15850891639106826,-0.15428566573182637,7.7,LOW
2020-06-05,152.08058166503906,165.1677118764765,-13.087130211437426,-7.923540298980989,-0.22068785035736413,0.34733485876219317,9.8,LOW
2020-06-08,152.2801055908203,163.36108092506473,-11.080975334244414,-6.7831182748645995,-0.19059550874103545,0.7240601286430922,12.3,LOW
2020-06-09,151.5319061279297,165.4266581392171,-13.894752011287409,-8.399342746556657,-0.23280218478596254,-0.35620545828010186,10.0,LOW
2020-06-10,151.48204040527344,163.78255708668095,-12.300516681407515,-7.5102727055955905,-0.20888864016936184,0.2523720454109166,9.0,LOW
2020-06-11,151.43218994140625,165.6828578710193,-14.250667929613059,-8.601172211012265,-0.2381409268355946,3.62756619088062,34.6,MEDIUM
2020-06-12,151.93096923828125,163.42499898660176,-11.494029748320514,-7.033213902153881,-0.19679132875264996,0.08866605384855086,7.6,LOW
2020-06-15,148.88833618164062,158.4799291253657,-9.591592943725061,-6.05224459441651,-0.16825475917958443,-0.4186785495164493,9.8,LOW
2020-06-16,145.84571838378906,160.556615131112,-14.710896747322948,-9.162435777130638,-0.24504436333576302,-0.5549386877593439,11.6,LOW
2020-06-17,146.79344177246094,162.51674195292247,-15.723300180461536,-9.674880256346901,-0.2602304241478661,-0.893982103709613,14.3,LOW
2020-06-18,147.49176025390625,164.06872222073272,-16.576961966826474,-10.10366981741003,-0.2730353587977982,-0.6428044854689926,12.6,LOW
2020-06-19,152.32998657226562,166.84077891588413,-14.510792343618505,-8.697389473909368,-0.24204279543905544,0.2708435634743199,9.5,LOW
2020-06-22,154.27525329589844,164.7990487877113,-10.523795491812876,-6.385835093847709,-0.18223780597800554,0.06504961937725957,7.3,LOW
2020-06-23,156.81907653808594,172.3673351110565,-15.548258572970553,-9.020420581981378,-0.2576047984249608,0.07201325581571023,8.1,LOW
2020-06-24,154.42489624023438,164.132400305188,-9.707504064953639,-5.914434960375583,-0.16999342706449994,-0.17357504937334,8.0,LOW
2020-06-25,161.25828552246094,180.48827151983988,-19.229985997378947,-10.654424154793416,-0.3128307436662982,2.3939530424736724,26.1,MEDIUM
2020-06-26,161.75709533691406,176.25043625800674,-14.493340921092681,-8.223151799679176,-0.24178102394059928,0.4335092529645705,10.7,LOW
2020-06-29,159.36289978027344,164.4393481204201,-5.076448340146669,-3.0871250696208974,-0.10052754858250763,-0.5521336437844077,10.1,LOW
2020-06-30,155.8713836669922,162.23080107534437,-6.359417408352186,-3.919981511648149,-0.11977209641006246,-0.34159637619693695,8.8,LOW
2020-07-01,157.26797485351562,168.44215220280677,-11.174177349291142,-6.6338367226733554,-0.19199353982427894,-0.8338343644017613,13.2,LOW
2020-07-02,157.816650390625,167.72946494451537,-9.912814553890371,-5.910001893328351,-0.1730730862875925,-0.6942646989804985,11.9,LOW
2020-07-03,159.6123046875,166.79145525664777,-7.179150569147765,-4.304267600579993,-0.13206810136428027,-0.10406611579888704,7.1,LOW
2020-07-06,163.80210876464844,174.09683331213563,-10.294724547487192,-5.91321757646788,-0.17880173970546107,-0.33233092220525656,9.3,LOW
2020-07-07,167.7425537109375,178.05613030619736,-10.31357659525986,-5.792317612161927,-0.17908452059550692,0.7799460606238348,12.6,LOW
2020-07-08,162.60504150390625,165.0172548907271,-2.412213386820838,-1.4617946398503499,-0.06056399976925669,-0.3530736821108736,8.3,LOW
2020-07-09,162.35562133789062,168.9307066897983,-6.575085351907688,-3.89217891805857,-0.12300711754773451,-0.8732506529077084,12.8,LOW
2020-07-10,159.31301879882812,162.4473647162965,-3.13434591746838,-1.9294532250137184,-0.07139599437324014,-0.7340459567146653,11.2,LOW
2020-07-13,155.671875,164.06097450293885,-8.389099502938848,-5.113403433300082,-0.1502173465037675,-0.5111591892810544,10.3,LOW
2020-07-14,149.3871307373047,157.23573061632007,-7.8485998790153815,-4.991613450868366,-0.14210984717183167,-0.5819186800162001,10.8,LOW
2020-07-15,147.3919677734375,156.77985671970075,-9.387888946263246,-5.987943312799046,-0.1651991973433968,-0.6620622478835908,11.6,LOW
2020-07-16,148.5391845703125,158.7368828423086,-10.197698271996103,-6.424277766703177,-0.1773463446803655,-0.880932700327175,13.4,LOW
2020-07-17,151.23265075683594,167.80645805948757,-16.57380730265163,-9.876739843216402,-0.27298803880614986,-0.5803404504592119,12.1,LOW
2020-07-20,160.31060791015625,177.20385939610185,-16.893251485945598,-9.533230000473239,-0.2777797044947338,0.730719006394412,13.3,LOW
2020-07-21,166.89462280273438,183.93446633006604,-17.03984352733167,-9.264084033469874,-0.27997858646430385,0.752532108699172,13.4,LOW
2020-07-22,168.989501953125,178.55640784582585,-9.566905892700845,-5.357917986881417,-0.16788445318707806,0.1353895211827573,7.7,LOW
2020-07-23,169.53817749023438,178.7081073650877,-9.169929874853324,-5.131233277581426,-0.161929809266828,-0.6915007105230304,11.8,LOW
2020-07-24,168.34109497070312,179.1753832726942,-10.83428830199108,-6.046750454275262,-0.18689520098749235,-0.814495126259828,13.0,LOW
2020-07-27,165.54788208007812,167.29398967904402,-1.7461075989658923,-1.0437360017032442,-0.05057240682265874,-1.0778519264956077,13.6,LOW
2020-07-28,173.12948608398438,180.5409437389194,-7.41145765493502,-4.105139533142545,-0.1355527097885237,0.7943328792110856,12.3,LOW
2020-07-29,178.66603088378906,180.6807593738468,-2.0147284900577347,-1.115076390557479,-0.05460172266059075,3.4609492781450943,31.5,MEDIUM
2020-07-30,174.62582397460938,169.3683545087254,5.257469465883986,3.1041628060530844,0.05448131358931242,-0.19022837289609548,22.0,LOW
2020-07-31,174.82533264160156,173.01877242496337,1.8065602166381893,1.0441411595505787,0.002717643099149248,-0.3922611280698995,23.0,LOW
2020-08-03,171.83261108398438,175.9172376987,-4.084626614715631,-2.321902428749776,-0.08565021357538803,-0.3363375480281315,8.4,LOW
2020-08-04,181.65875244140625,197.57047296195663,-15.911720520550375,-8.053693591964157,-0.2630567309828357,0.16157379515348347,8.8,LOW
2020-08-05,179.16481018066406,184.51041375811099,-5.345603577446923,-2.8971825863741705,-0.10456487961848228,0.10248175898698125,6.8,LOW
2020-08-06,185.49940490722656,198.64431342336005,-13.144908516133484,-6.617309244648972,-0.2215545254594175,0.7871287874568533,13.1,LOW
2020-08-07,192.43255615234375,201.82643390340587,-9.39387775106212,-4.654433797090242,-0.16528902947048232,1.510956576298594,18.0,LOW
2020-08-10,195.2257843017578,207.50474372219267,-12.278959420434859,-5.917435524690427,-0.20856528105642574,0.05916704520251424,7.5,LOW
2020-08-11,195.3754425048828,198.57609888024803,-3.200656375365213,-1.6118034312353873,-0.07239065185180862,-0.45248609161233166,9.1,LOW
2020-08-12,197.22093200683594,206.14600808849195,-8.925076081656016,-4.329492559382844,-0.15825700011599275,-0.3567145839432568,9.3,LOW
2020-08-13,200.2635498046875,207.28314562079714,-7.019595816109643,-3.3864768865247057,-0.12967477860066084,-0.33452251354246587,8.8,LOW
2020-08-14,195.72457885742188,196.69197054726672,-0.9673916898448454,-0.49183079876276553,-0.03889166102095463,0.5576200479862968,9.6,LOW
2020-08-17,197.32070922851562,203.0323044566485,-5.711595228132865,-2.8131460377293833,-0.11005475774622454,-0.4596454148254481,9.5,LOW
2020-08-18,213.1821746826172,227.6050669266822,-14.422892244065025,-6.336806310516378,-0.2407242931369931,2.2460213410681877,24.3,LOW
2020-08-19,238.9695281982422,243.693635227319,-4.724107029076805,-1.938543460386287,-0.09524242567460196,2.7999206719031964,27.0,MEDIUM
2020-08-20,233.43296813964844,227.71281722696597,5.72015091268247,2.5120021711299105,0.06142153954837612,0.6783981332536961,25.7,MEDIUM
2020-08-21,232.7845458984375,246.53519351516746,-13.750647616729964,-5.577559706859455,-0.23064061754171053,-0.11349188678397502,8.2,LOW
2020-08-24,248.0973663330078,270.9526029981481,-22.855236665140296,-8.435141944473774,-0.3672095370382929,1.0398756141011054,16.5,LOW
2020-08-25,306.80474853515625,290.8207013859063,15.984047149249932,5.496186163185062,0.21538007753398672,3.7909699862513024,50.6,HIGH
2020-08-26,284.8580627441406,280.8676975308242,3.9903652133164087,1.4207277121565325,0.03547473814229729,1.5179246042442793,31.7,MEDIUM
2020-08-27,286.0052795410156,311.6707620551783,-25.665482514162647,-8.234805967978101,-0.4093632506304235,0.4874337732672232,12.7,LOW
2020-08-28,287.5515441894531,309.98077228797143,-22.42922809851831,-7.235683662882679,-0.36081940461930023,-0.2939528778275357,10.8,LOW
2020-08-31,278.8725891113281,316.31280480588026,-37.44021569455214,-11.83645275363703,-0.5859843566744264,0.36763376213594245,13.6,LOW
2020-09-01,280.41888427734375,296.37816793006687,-15.959283652723116,-5.384770330481581,-0.2637701784030505,-0.5491900421374852,11.8,LOW
2020-09-02,292.33990478515625,307.5373385081834,-15.197433723027132,-4.9416548236866324,-0.25234242244790456,0.5093932266938381,11.3,LOW
2020-09-03,290.5442810058594,301.9768078664421,-11.432526860582698,-3.785895659125936,-0.1958687848707007,-0.2692331918709661,9.0,LOW
2020-09-04,284.45904541015625,298.63156560312626,-14.172520192970012,-4.745821214293511,-0.23696871006691927,-0.4706852274691207,10.9,LOW
2020-09-07,284.55877685546875,306.07353521431884,-21.514758358850088,-7.029277570105831,-0.34710235011033086,-0.5613855653627655,12.7,LOW
2020-09-08,277.0271301269531,283.89590354843955,-6.868773421486424,-2.4194690150977975,-0.12741244129361054,-0.5932439856306,10.7,LOW
2020-09-09,282.3641052246094,292.3076967572971,-9.94359153268772,-3.401754946242103,-0.17353474125272866,-0.5212205959771241,10.6,LOW
2020-09-10,297.5771789550781,301.18369581454283,-3.606516859464705,-1.1974475742157893,-0.07847856284758335,1.120030703601918,14.2,LOW
2020-09-11,295.28277587890625,292.96764752676245,2.3151283521438017,0.7902334512660876,0.010346169811018774,-0.3455678023490476,22.7,LOW
2020-09-14,292.43963623046875,294.64116161908436,-2.2015253886156074,-0.7471886740189295,-0.05740367785765871,-0.7043911311250137,10.9,LOW
2020-09-15,287.85076904296875,297.37668928545656,-9.525920242487814,-3.203317739993982,-0.16726966805677768,-0.9635657836807288,13.9,LOW
2020-09-16,296.3800964355469,308.73166088667904,-12.351564451132163,-4.000744340783968,-0.20965435718491704,-0.5718254771719085,11.4,LOW
2020-09-17,292.9883117675781,296.55351688278057,-3.5652051152024455,-1.2022130618035034,-0.07785888630354418,-0.8619494493878826,12.2,LOW
2020-09-18,290.843505859375,296.38249438612723,-5.5389885267522345,-1.8688649402943611,-0.10746565563737784,-0.8150345179685249,12.2,LOW
2020-09-21,276.4285583496094,282.7141681040021,-6.285609754392738,-2.2233090745138915,-0.11866498092157378,-0.4570380499270386,9.6,LOW
2020-09-22,279.72052001953125,288.17034091798433,-8.449820898453083,-2.932231287763918,-0.15112816799517262,0.3929238859718317,9.5,LOW
2020-09-23,282.8629150390625,286.5262367545532,-3.6633217154907243,-1.2785292394109211,-0.07933063621062954,-0.0038505402582757154,5.8,LOW
2020-09-24,269.794677734375,271.82469355248475,-2.030015818109746,-0.746810671090772,-0.05483103272202811,-0.8138837012664533,11.7,LOW
2020-09-25,279.62078857421875,284.5433254094079,-4.922536835189135,-1.7299779666616566,-0.09821887459202001,-0.11356831753759518,6.8,LOW
2020-09-28,294.9835205078125,303.40718940022094,-8.423668892408443,-2.7763577089456764,-0.15073588766388096,-0.3619673106515016,9.2,LOW
2020-09-29,297.1781311035156,302.08181312696223,-4.903682023446606,-1.6232960113310873,-0.09793605224240083,0.39777808624436334,9.0,LOW
2020-09-30,296.3800964355469,298.1882029631082,-1.8081065275613355,-0.6063642054226518,-0.05150239132203643,-0.3795446717364269,8.4,LOW
2020-10-01,307.4033203125,328.3140284529917,-20.910708140491693,-6.369118078512355,-0.33804159127714833,-0.0973361797157513,9.1,LOW
2020-10-05,325.80859375,347.20197683405723,-21.393383084057234,-6.161653594006481,-0.3452817198716761,2.0971619667156514,24.2,LOW
2020-10-06,326.3572692871094,326.7936514051996,-0.4363821180902505,-0.133534453993774,-0.030926512558868923,-0.07939388943638162,5.9,LOW
